idx,specimen,measurement,start_time,end_time
216,FOF2-20,24.1.S.040E,2024-04-10 21:53:47.320978,2024-04-10 21:53:55.220978
217,FOF2-20,24.1.S.040E,2024-04-10 21:54:09.711965,2024-04-10 21:54:17.611965
218,FOF2-20,24.1.S.040E,2024-04-10 21:56:01.028963,2024-04-10 21:56:08.928963
219,FOF2-20,24.1.S.040E,2024-04-10 22:03:22.232002,2024-04-10 22:03:30.132002
220,FOF2-20,24.1.S.040E,2024-04-10 22:16:48.635996,2024-04-10 22:16:56.535996
221,FOF2-20,24.1.S.040E,2024-04-10 22:25:30.637993,2024-04-10 22:25:58.287993
222,FOF2-20,24.1.S.040E,2024-04-10 22:26:00.560985,2024-04-10 22:26:13.210985
223,FOF2-20,24.1.S.040E,2024-04-10 22:26:16.629978,2024-04-10 22:26:35.779978
224,FOF2-20,24.1.S.040E,2024-04-10 22:26:35.863992,2024-04-10 22:26:45.663992
225,FOF2-20,24.1.S.040E,2024-04-10 22:31:13.580973,2024-04-10 22:31:21.480973
226,FOF2-20,24.1.S.040E,2024-04-10 22:46:47.237989,2024-04-10 22:46:55.137989
227,FOF2-20,24.1.S.040E,2024-07-05 22:50:15.632996,2024-07-05 22:50:20.782996
228,FOF2-20,24.1.S.040E,2024-07-05 22:50:35.736005,2024-07-05 22:50:40.886005
229,FOF2-9,24.1.S.041E,2024-04-10 23:00:12.434989,2024-04-10 23:00:20.334989
230,FOF2-9,24.1.S.041E,2024-04-10 23:27:22.564993,2024-04-10 23:27:30.464993
231,FOF2-9,24.1.S.041E,2024-04-10 23:29:03.026970,2024-04-10 23:29:10.926970
232,FOF2-9,24.1.S.041E,2024-04-10 23:29:19.703001,2024-04-10 23:29:27.603001
233,FOF2-9,24.1.S.041E,2024-04-10 23:29:51.721979,2024-04-10 23:29:59.621979
234,FOF2-9,24.1.S.041E,2024-04-10 23:47:07.055973,2024-04-10 23:47:57.455973
235,FOF2-9,24.1.S.041E,2024-04-10 23:50:52.529986,2024-04-10 23:51:00.429986
236,FOF2-9,24.1.S.041E,2024-04-10 23:56:13.434985,2024-04-11 00:02:15.184985
237,FOF2-9,24.1.S.041E,2024-04-11 00:06:05.555973,2024-04-11 00:06:13.455973
238,FOF2-9,24.1.S.041E,2024-04-11 00:06:27.911998,2024-04-11 00:06:35.811998
239,FOF2-9,24.1.S.041E,2024-04-11 00:10:55.332997,2024-04-11 00:11:07.582997
240,FOF2-9,24.1.S.041E,2024-04-11 00:11:10.164983,2024-04-11 00:11:18.114983
241,FOF2-9,24.1.S.041E,2024-04-11 00:11:32.646977,2024-04-11 00:18:13.146977
242,FOF2-9,24.1.S.041E,2024-04-11 00:35:40.088975,2024-04-11 00:35:47.988975
243,FOF2-9,24.1.S.041E,2024-04-11 00:50:41.089962,2024-04-11 00:50:48.989962
244,FOF2-9,24.1.S.041E,2024-04-11 00:57:00.962012,2024-04-11 01:03:34.712012
245,FOF2-9,24.1.S.041E,2024-04-11 01:05:25.197981,2024-04-11 01:05:33.097981
246,FOF2-9,24.1.S.041E,2024-04-11 01:12:14.610003,2024-04-11 01:26:03.110003
